2022-08-31T18:00:30.079Z | Common Extension Root    | TRACE | query-expfeature <json>{"ABExp.queriedFeature":"vscode.mindaroBinariesVersion-doesnotexist","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.080Z | Common Extension Root    | TRACE | Call to ExP returned version 'undefined' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.080Z | Common Extension Root    | TRACE | Resolved expected CLI version '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.111Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1 <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.114Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder ubuntu for Connect <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.114Z | Common Extension Root    | TRACE | Connect initialization started on ubuntu <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.116Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"a73664d0-ca0b-23a6-9d60-b0918bdb0576","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.119Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.122Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.143Z | Common Extension Root    | WARNG | Binaries are not present locally: downloading them <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.153Z | Common Extension Root    | TRACE | Resolved versionUrl 'https://bridgetokubernetes.blob.core.windows.net/zip/1.0.20220816.2/lks.json' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.584Z | Common Extension Root    | TRACE | Event: cli-versions-client-get-download-info-success <json>{"availableVersion":"1.0.20220816.2","expectedVersion":"1.0.20220816.2","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.585Z | Common Extension Root    | TRACE | Event: cli-version-client-get-download-info-status <json>{"binariesVersionsDownloadTimeInMilliseconds":438,"binariesVersionsDownloadSucceeded":true,"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:30.585Z | Common Extension Root    | TRACE | Event: binaries-utility-download-start <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:52.576Z | Common Extension Root    | TRACE | Event: binaries-utility-download-success <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:52.577Z | Common Extension Root    | TRACE | Event: binaries-utility-overall-download-status <json>{"binariesDownloadTimeInMilliseconds":21991,"binariesDownloadSucceeded":true,"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.733Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.734Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20220816.2'. Expected version: '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.734Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20220816.2', which is equal to the required '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.734Z | Common Extension Root    | TRACE | Event: binaries-utility-ensure-cli-success <json>{"isUsingLocalBinaries":"false","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.740Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.758Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.987Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:54.988Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view -o jsonpath={.clusters[*].cluster.server}","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:55.019Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:55.021Z | Common Extension Root    | TRACE | Event: activation <json>{"workspacesCommonId":"a73664d0-ca0b-23a6-9d60-b0918bdb0576","workspaceFoldersCount":"1","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:55.021Z | Common Extension Root    | TRACE | Extension activated successfully <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T18:00:55.138Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view -o jsonpath={.clusters[*].cluster.server}","remoteName":"ssh-remote"}</json>
2022-08-31T18:00:55.139Z | Common Extension Root    | TRACE | Event: kubernetes-panel-customizer-supported-fqdn-evaluation <json>{"currentFqdnDomain":"69.183","clustersCount":1,"fqdnDomains":"69.183","remoteName":"ssh-remote"}</json>
